b'Record: [ 27/07/19  13:51:29 ] - Action: Update - User: karolis2091 - Before: https://cdn.discordapp.com/avatars/182115564477480960/94cdb1380b0f28a96b938ace0174dbba.webp?size=1024 - After: https://cdn.discordapp.com/avatars/182115564477480960/f17fae24f4ce12b3a45c3457305699a3.webp?size=1024'
b'Record: [ 27/07/19  16:35:52 ] - Action: Update - User: karolis2091 - Before: https://cdn.discordapp.com/avatars/182115564477480960/f17fae24f4ce12b3a45c3457305699a3.webp?size=1024 - After: https://cdn.discordapp.com/avatars/182115564477480960/fce65324baccf555c96496e30189ba1d.webp?size=1024'
b'Record: [ 27/07/19  20:28:17 ] - Action: Update - User: Karolis/Hantelis - Content: HHH7'
b'Record: [ 27/07/19  23:59:45 ] - Action: Update - User: MuscleShop - Before: https://cdn.discordapp.com/avatars/301348455652130816/8c28adeaad21d2359d392c58b8be09ea.webp?size=1024 - After: https://cdn.discordapp.com/avatars/301348455652130816/c263b27442a82c4891e779e53cd67b73.webp?size=1024'
b'Record: [ 28/07/19  00:06:36 ] - Action: Update - User: MuscleShop - Before: https://cdn.discordapp.com/avatars/301348455652130816/c263b27442a82c4891e779e53cd67b73.webp?size=1024 - After: https://cdn.discordapp.com/avatars/301348455652130816/21e590493132b78809c9df4cb94eb4d9.webp?size=1024'
b'Record: [ 28/07/19  11:31:36 ] - Action: Update - User: valdelis326 - Before: https://cdn.discordapp.com/embed/avatars/3.png - After: https://cdn.discordapp.com/avatars/604872500173602826/e5585781ae02e19af0ecce41c6fab3bf.webp?size=1024'
b'Record: [ 28/07/19  12:36:27 ] - Action: Update - User: Vienas\xf0\x9f\xa6\x91 - Before: https://cdn.discordapp.com/avatars/257621871074344960/f4302098ce5dccecde81bac97829d263.webp?size=1024 - After: https://cdn.discordapp.com/avatars/257621871074344960/3c81b325e4e4595ca464cd78c9a8c131.webp?size=1024'
b'Record: [ 28/07/19  15:02:04 ] - Action: Update - User: SLYCC - Before: https://cdn.discordapp.com/avatars/288357985011499010/36a6aba899b9265ecbf6f849ebc38566.webp?size=1024 - After: https://cdn.discordapp.com/avatars/288357985011499010/85fe3610056eed723b2b22ce6c12f4cf.webp?size=1024'
b'Record: [ 28/07/19  20:13:55 ] - Action: Update - User: 66 - Before: https://cdn.discordapp.com/avatars/421454465871249418/ff6c69c234ca4ccc3f0bcdc70b8be5f9.webp?size=1024 - After: https://cdn.discordapp.com/avatars/421454465871249418/8dabb65dd631627685b9316208c427ac.webp?size=1024'
b'Record: [ 28/07/19  21:25:04 ] - Action: Update - User: Suvalkata - Before: https://cdn.discordapp.com/avatars/292609970422153216/da4cf7a2f57df3742fc8b35392da6839.webp?size=1024 - After: https://cdn.discordapp.com/avatars/292609970422153216/a_3d58da43c0fb3bd536b3317ca391d9e3.gif?size=1024'
b'Record: [ 28/07/19  21:33:22 ] - Action: Update - User: BlueScreen - Before: https://cdn.discordapp.com/avatars/242040696620580865/2d5c5682283f2eb1fea75658acf1dc85.webp?size=1024 - After: https://cdn.discordapp.com/avatars/242040696620580865/a_6103519cc1a0e8b4bd55b4deea30212b.gif?size=1024'
b'Record: [ 28/07/19  22:19:22 ] - Action: Update - User: zzrtz - Content: leffex'
b'Record: [ 28/07/19  22:23:37 ] - Action: Update - User: Cromirko - Before: https://cdn.discordapp.com/avatars/237238450334466052/97bcf56db8632fc84f79116611c548db.webp?size=1024 - After: https://cdn.discordapp.com/avatars/237238450334466052/29159c60ac5745a99a8c09807f40521a.webp?size=1024'
b'Record: [ 28/07/19  23:27:25 ] - Action: Update - User: sickyy - Before: https://cdn.discordapp.com/avatars/330052929710981122/a818c04dcee9b9093d11665cfb98bedc.webp?size=1024 - After: https://cdn.discordapp.com/avatars/330052929710981122/9d830b9d8bb85ad3f520b4f0a55482bd.webp?size=1024'
b'Record: [ 29/07/19  18:35:57 ] - Action: Update - User: Dr Moon - Before: https://cdn.discordapp.com/avatars/155331122149064705/5fa07b026f06e4adbe84a54d78385253.webp?size=1024 - After: https://cdn.discordapp.com/avatars/155331122149064705/a049385679a52bbdf7684f18a9abafb4.webp?size=1024'
b'Record: [ 29/07/19  18:36:25 ] - Action: Update - User: Dr Moon - Before: https://cdn.discordapp.com/avatars/155331122149064705/a049385679a52bbdf7684f18a9abafb4.webp?size=1024 - After: https://cdn.discordapp.com/avatars/155331122149064705/38442e853a18bbd3d1f8020e50b87446.webp?size=1024'
b'Record: [ 30/07/19  13:44:00 ] - Action: Update - User: kiradFh - Content: Jusky Games'
b'Record: [ 30/07/19  13:45:15 ] - Action: Update - User: Jusky Games - Before: https://cdn.discordapp.com/embed/avatars/4.png - After: https://cdn.discordapp.com/avatars/161469442981625856/6cb4fc97ff1420c084a499e413d4b591.webp?size=1024'
b'Record: [ 30/07/19  16:41:25 ] - Action: Update - User: Mentarley - Before: https://cdn.discordapp.com/avatars/276918858600939520/a_163169ad1a92a451b2631566f687ad73.gif?size=1024 - After: https://cdn.discordapp.com/avatars/276918858600939520/a_414d0d25f6c4c68beb0ba62daae95d77.gif?size=1024'
b'Record: [ 30/07/19  18:19:32 ] - Action: Update - User: Vienas\xf0\x9f\xa6\x91 - Before: https://cdn.discordapp.com/avatars/257621871074344960/3c81b325e4e4595ca464cd78c9a8c131.webp?size=1024 - After: https://cdn.discordapp.com/avatars/257621871074344960/0a187d0a881713832ab00b8a454ea31b.webp?size=1024'
b'Record: [ 30/07/19  18:32:52 ] - Action: Update - User: Vienas\xf0\x9f\xa6\x91 - Before: https://cdn.discordapp.com/avatars/257621871074344960/0a187d0a881713832ab00b8a454ea31b.webp?size=1024 - After: https://cdn.discordapp.com/avatars/257621871074344960/6c39c08c63ad1406c2bb4c021fe822a2.webp?size=1024'
b'Record: [ 30/07/19  19:12:44 ] - Action: Update - User: Maniac - Before: https://cdn.discordapp.com/avatars/271582951152680960/a_2296ff4d61f2a1fad961c0324fece11c.gif?size=1024 - After: https://cdn.discordapp.com/avatars/271582951152680960/c6f85834c14d51fd9bf4d92369c62198.webp?size=1024'
b'Record: [ 30/07/19  19:49:45 ] - Action: Update - User: FaustRecht - Before: https://cdn.discordapp.com/avatars/566292177161027586/47a8dd6708f7e095b80db40b889ae84e.webp?size=1024 - After: https://cdn.discordapp.com/avatars/566292177161027586/a_75e25794613361750a4246733f77e592.gif?size=1024'
b'Record: [ 30/07/19  19:55:02 ] - Action: Update - User: Sena Tarka - Content: ALT'
b'Record: [ 30/07/19  21:02:43 ] - Action: Update - User: smygolas gaming - Content: kerii'
