b"Record: [ 30/07/19  14:00:18 ] - Action: Upload - User: <@!566292177161027586> - Content: [<Attachment id=605731399659421696 filename='banner.png' url='https://cdn.discordapp.com/attachments/602631551984992275/605731399659421696/banner.png'>]"
b'Record: [ 30/07/19  14:00:24 ] - Action: Writte - User: <@!566292177161027586> - Content: **OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n\n<:7_:605729565087760384> **[A] Gold Staras**.\n<:6_:605729565159194625> **[M] Silver Staras**.\n<:5_:605729565175709696> **[D] Bronze Staras**.\n\n**Privil\xc4\x97gijos**\n\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**Paauk\xc5\xa1tinimo - Pri\xc4\x97mimo reikalavimai**\n\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 30 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 20 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 20 PvM event\xc5\xb3.*'
b'Record: [ 30/07/19  14:01:20 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 OSRS Lietuva bendruomen\xc4\x97s hierarchija**'
b"Record: [ 30/07/19  14:01:28 ] - Action: Upload - User: <@!566292177161027586> - Content: [<Attachment id=605731690136207371 filename='split.png' url='https://cdn.discordapp.com/attachments/602631551984992275/605731690136207371/split.png'>]"
b'Record: [ 30/07/19  14:01:34 ] - Action: Writte - User: <@!566292177161027586> - Content: <:7_:605729565087760384> **Gold Staras**.\n<:6_:605729565159194625> **Silver Staras**.\n<:5_:605729565175709696> **Bronze Staras**.'
b"Record: [ 30/07/19  14:01:38 ] - Action: Upload - User: <@!566292177161027586> - Content: [<Attachment id=605731734063153208 filename='split.png' url='https://cdn.discordapp.com/attachments/602631551984992275/605731734063153208/split.png'>]"
b'Record: [ 30/07/19  14:01:44 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 Privil\xc4\x97gijos**\n\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.'
b"Record: [ 30/07/19  14:01:49 ] - Action: Upload - User: <@!566292177161027586> - Content: [<Attachment id=605731776719093792 filename='split.png' url='https://cdn.discordapp.com/attachments/602631551984992275/605731776719093792/split.png'>]"
b'Record: [ 30/07/19  14:01:54 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 Paauk\xc5\xa1tinimo reikalavimai**\n\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 30 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 20 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 20 PvM event\xc5\xb3.*'
b'Record: [ 30/07/19  14:11:07 ] - Action: Writte - User: <@!566292177161027586> - Content: **\xe2\x9c\x99 OSRS Lietuva bendruomen\xc4\x97s hierarchija**\n<:7_:605729565087760384> **Gold Staras**.\n<:6_:605729565159194625> **Silver Staras**.\n<:5_:605729565175709696> **Bronze Staras**.\n\n**\xe2\x9c\x99 Privil\xc4\x97gijos**\n<:6_:605729565159194625> **Discord:** *Audit Log, Ban, Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:5_:605729565175709696> **Discord:** *Kick, Move, Mute* *|* **Clan Chat:** *Kick*.\n<:4_:605729566832459796> **Discord:** *Move, Mute*.\n\n**\xe2\x9c\x99 Paauk\xc5\xa1tinimo reikalavimai**\n<:6_:605729565159194625> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 40 PvM event\xc5\xb3.*\n<:5_:605729565175709696> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 25 PvM event\xc5\xb3.*\n<:4_:605729566832459796> *\xc5\xbdaid\xc4\x97jas turi suorganizuoti 10 PvM event\xc5\xb3.*'
