b'Record: [ 14/08/19  20:57:16 ] - Action: Joined - User: justinas - Uerd ID: 418838228985053206 - Created at: 2018-03-01 18:33:35.428000'
b'Record: [ 14/08/19  20:57:19 ] - Action: Joined - User: ALT - Uerd ID: 358233474554920961 - Created at: 2017-09-15 12:51:55.990000'
b'Record: [ 14/08/19  20:57:22 ] - Action: Joined - User: Haris - Uerd ID: 390992657125736451 - Created at: 2017-12-14 22:25:13.751000'
b'Record: [ 14/08/19  20:58:19 ] - Action: Joined - User: Vaidas3000 - Uerd ID: 284417162192617472 - Created at: 2017-02-23 20:12:15.682000'
b'Record: [ 14/08/19  21:00:22 ] - Action: Joined - User: Dakoras - Uerd ID: 252380712169111552 - Created at: 2016-11-27 10:30:50.788000'
b'Record: [ 14/08/19  21:48:22 ] - Action: Joined - User: Kent HD - Uerd ID: 208637666512601088 - Created at: 2016-07-29 17:31:35.997000'
b'Record: [ 14/08/19  22:20:55 ] - Action: Joined - User: MANTAS - Uerd ID: 527218059312758785 - Created at: 2018-12-25 20:16:20.578000'
b'Record: [ 14/08/19  22:25:35 ] - Action: Joined - User: mazhutis - Uerd ID: 522151600794501140 - Created at: 2018-12-11 20:44:02.737000'
b'Record: [ 14/08/19  22:41:22 ] - Action: Joined - User: goonfish - Uerd ID: 344526514861113344 - Created at: 2017-08-08 17:05:22.136000'
b'Record: [ 15/08/19  12:30:04 ] - Action: Joined - User: o\xc5\xbeys33 - Uerd ID: 593549007029010462 - Created at: 2019-06-26 21:11:50.883000'
b'Record: [ 15/08/19  13:07:54 ] - Action: Joined - User: 145674 - Uerd ID: 611516378796785674 - Created at: 2019-08-15 11:07:46.130000'
b'Record: [ 15/08/19  20:34:11 ] - Action: Joined - User: Gvidas - Uerd ID: 222011821538672640 - Created at: 2016-09-04 15:15:43.035000'
b'Record: [ 15/08/19  20:44:40 ] - Action: Joined - User: Dovydas - Uerd ID: 502455942286409738 - Created at: 2018-10-18 12:20:31.821000'
b'Record: [ 15/08/19  21:15:54 ] - Action: Joined - User: Dofke [Keturi Vejai] - Uerd ID: 183316342408085504 - Created at: 2016-05-20 20:33:41.883000'
b'Record: [ 16/08/19  00:46:49 ] - Action: Joined - User: blitzas - Uerd ID: 545357388769656887 - Created at: 2019-02-13 21:35:33.733000'
b'Record: [ 16/08/19  17:03:15 ] - Action: Joined - User: Chulihans - Uerd ID: 382984274480988162 - Created at: 2017-11-22 20:02:46.540000'
b'Record: [ 16/08/19  21:00:05 ] - Action: Joined - User: Smilas - Uerd ID: 527067554070396940 - Created at: 2018-12-25 10:18:17.332000'
b'Record: [ 16/08/19  21:30:48 ] - Action: Joined - User: dicktatorius - Uerd ID: 327514696708259840 - Created at: 2017-06-22 18:26:28.624000'
b'Record: [ 16/08/19  21:40:29 ] - Action: Joined - User: mantuks46 - Uerd ID: 173794119250870272 - Created at: 2016-04-24 13:55:46.968000'
b'Record: [ 16/08/19  22:17:40 ] - Action: Joined - User: Lil Uzi Vert - Uerd ID: 555052977082335233 - Created at: 2019-03-12 15:42:22.122000'
b'Record: [ 16/08/19  22:35:04 ] - Action: Joined - User: \xc5\xa0ima\xc5\xa1ius - Uerd ID: 612021081712230431 - Created at: 2019-08-16 20:33:16.682000'
b'Record: [ 17/08/19  10:50:57 ] - Action: Joined - User: Ka\xc5\xbekas - Uerd ID: 404986790768934913 - Created at: 2018-01-22 13:12:55.210000'
b'Record: [ 17/08/19  13:26:19 ] - Action: Joined - User: donce500 - Uerd ID: 386915509863710720 - Created at: 2017-12-03 16:24:06.094000'
b'Record: [ 17/08/19  20:29:07 ] - Action: Joined - User: Qskaras - Uerd ID: 254253105141645322 - Created at: 2016-12-02 14:31:04.060000'
b'Record: [ 19/08/19  14:29:52 ] - Action: Joined - User: FaustRecht - Uerd ID: 566292177161027586 - Created at: 2019-04-12 16:02:56.235000'
b'Record: [ 19/08/19  16:08:34 ] - Action: Joined - User: Smilas - Uerd ID: 527067554070396940 - Created at: 2018-12-25 10:18:17.332000'
b'Record: [ 19/08/19  16:41:02 ] - Action: Joined - User: teqila - Uerd ID: 551450915891052567 - Created at: 2019-03-02 17:09:03.811000'
b'Record: [ 19/08/19  16:45:11 ] - Action: Joined - User: Deivis wii - Uerd ID: 154921983430098944 - Created at: 2016-03-03 12:04:39.161000'
b'Record: [ 19/08/19  16:46:12 ] - Action: Joined - User: Deivis wii - Uerd ID: 154921983430098944 - Created at: 2016-03-03 12:04:39.161000'
b'Record: [ 19/08/19  16:46:34 ] - Action: Joined - User: Deivis wii - Uerd ID: 154921983430098944 - Created at: 2016-03-03 12:04:39.161000'
b'Record: [ 19/08/19  16:46:48 ] - Action: Joined - User: Myveris - Uerd ID: 221253183400443904 - Created at: 2016-09-02 13:01:09.608000'
